latitude,longitude,rsrp [dBm],rsrq,rssnr,cqi,weight,Unnamed: 7
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-15,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-99,-12,-1,6,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-98,-12,0,10,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-93,-10,-1,11,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-97,-12,-1,5,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-96,-14,-1,6,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-98,-11,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-97,-12,0,8,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-102,-12,0,7,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-96,-12,-1,11,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-100,-11,-1,10,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-98,-12,-1,7,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-12,0,9,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-97,-13,-1,7,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-108,-13,-1,9,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-99,-13,0,11,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
